date,division,inflation
1961-01-01,overall,-0.18040772163184782
1962-01-01,overall,0.10844026784821992
1963-01-01,overall,3.10525365608334
1964-01-01,overall,-0.40273157100352286
1965-01-01,overall,-0.10548523224359618
1966-01-01,overall,0.9679690252609063
1967-01-01,overall,4.575562140333012
1968-01-01,overall,-0.15834652879426203
1969-01-01,overall,-0.40901502529423484
1970-01-01,overall,1.8439359655639143
1971-01-01,overall,1.6130359639582537
1972-01-01,overall,3.2315542235483496
1973-01-01,overall,10.560175741310474
1974-01-01,overall,17.32898098244089
1975-01-01,overall,4.487722269158945
1976-01-01,overall,2.6337115073056916
1977-01-01,overall,4.788224014459752
1978-01-01,overall,4.860064585542401
1979-01-01,overall,3.654467997964206
1980-01-01,overall,6.674919534505297
1981-01-01,overall,9.700000000000063
1982-01-01,overall,5.818900029778318
1983-01-01,overall,3.7042354631936947
1984-01-01,overall,3.8972726014975922
1985-01-01,overall,0.3464587912600292
1986-01-01,overall,0.7370028553919106
1987-01-01,overall,0.2900079094383834
1988-01-01,overall,2.556519453207473
1989-01-01,overall,2.813200897148027
1990-01-01,overall,2.6178010471204605
1991-01-01,overall,4.3583333333329755
1992-01-01,overall,4.767228299928172
1993-01-01,overall,3.5365853658539947
1994-01-01,overall,3.7249705535928657
1995-01-01,overall,3.45057509584894
1996-01-01,overall,3.4885594585891244
1997-01-01,overall,2.662514597119481
1998-01-01,overall,5.270342003487638
1999-01-01,overall,2.744561302406101
2000-01-01,overall,1.573488339375917
2001-01-01,overall,1.4069935857645488
2002-01-01,overall,1.7955519281779075
2003-01-01,overall,1.0924032872319245
2004-01-01,overall,1.4077525527907087
2005-01-01,overall,2.9719425163750035
2006-01-01,overall,3.6172030760467155
2007-01-01,overall,2.0432472054242368
2008-01-01,overall,5.423363562898431
2009-01-01,overall,0.5962013457116111
2010-01-01,overall,1.6171365676064697
2011-01-01,overall,3.182802866188972
2012-01-01,overall,1.6553617571059442
2013-01-01,overall,2.105012312336152
2014-01-01,overall,3.1429905087910326
2015-01-01,overall,2.1043898023834773
2016-01-01,overall,2.075792273029453
2017-01-01,overall,3.7993920972644313
2018-01-01,overall,0.9691138534476895
2019-01-01,overall,0.6628918657644034
2020-01-01,overall,-1.1387021539305708
2021-01-01,overall,2.477102414654442
2022-01-01,overall,3.3786986254993545
2023-01-01,overall,2.4888656012575394
2024-01-01,overall,1.8341002044989674
1981-01-01,01,11.357651963870197
1982-01-01,01,8.296544541948524
1983-01-01,01,0.9005698912161852
1984-01-01,01,3.6886337608394104
1985-01-01,01,-2.464318364972262
1986-01-01,01,0.3071353654991116
1987-01-01,01,-1.3155387272730468
1988-01-01,01,3.7219266590722055
1989-01-01,01,3.800131480343749
1990-01-01,01,3.9390070286852374
1991-01-01,01,4.881657726688293
1992-01-01,01,6.499626316741058
1993-01-01,01,2.2706019516090414
1994-01-01,01,5.318890089823691
1995-01-01,01,4.857644630986435
1996-01-01,01,5.800309218942257
1997-01-01,01,4.057120835936789
1998-01-01,01,8.913601117805769
1999-01-01,01,4.646738022641905
2000-01-01,01,1.9257265840250115
2001-01-01,01,0.6727211570803915
2002-01-01,01,0.7127742510301793
2003-01-01,01,1.3380515315713604
2004-01-01,01,2.2042776080314352
2005-01-01,01,3.6408285287209186
2006-01-01,01,3.3377974657463616
2007-01-01,01,3.060512411524252
2008-01-01,01,8.84116850454635
2009-01-01,01,4.141485958051905
2010-01-01,01,2.398020139955648
2011-01-01,01,4.808734061171749
2012-01-01,01,2.687659033078882
2013-01-01,01,3.5620257085333673
2014-01-01,01,3.342305966801251
2015-01-01,01,3.632153968598506
2016-01-01,01,3.8120505480695455
2017-01-01,01,3.9478108817001534
2018-01-01,01,1.630434782608714
2019-01-01,01,1.6488413547236958
2020-01-01,01,1.2713722051731713
2021-01-01,01,1.7687074829931815
2022-01-01,01,5.74866310160429
2023-01-01,01,4.82703137570395
2024-01-01,01,1.9789496765705517
1981-01-01,02,13.86954800899498
1982-01-01,02,6.653248733458095
1983-01-01,02,21.444972547664864
1984-01-01,02,3.537672286351956
1985-01-01,02,1.2177917189680754
1986-01-01,02,1.619641900386215
1987-01-01,02,5.64885736591072
1988-01-01,02,1.5058557709480391
1989-01-01,02,1.3813327070053338
1990-01-01,02,3.39918824935459
1991-01-01,02,7.758158501876311
1992-01-01,02,8.597146550224855
1993-01-01,02,14.861466363207288
1994-01-01,02,4.913312762553379
1995-01-01,02,2.3666122523294364
1996-01-01,02,2.198334547195291
1997-01-01,02,1.314503258055466
1998-01-01,02,4.329162073415649
1999-01-01,02,7.908897843895191
2000-01-01,02,2.8692354397656272
2001-01-01,02,4.774057949256871
2002-01-01,02,4.112337011033107
2003-01-01,02,1.7478667767685252
2004-01-01,02,7.804680102799932
2005-01-01,02,10.451693851944777
2006-01-01,02,6.94081563103488
2007-01-01,02,7.701295942213715
2008-01-01,02,7.347864680935023
2009-01-01,02,6.08232267548694
2010-01-01,02,3.9320976961718435
2011-01-01,02,4.608333333333325
2012-01-01,02,0.3983111606787215
2013-01-01,02,5.9588986749187
2014-01-01,02,11.621985921821153
2015-01-01,02,13.511337716355843
2016-01-01,02,17.192671394799053
2017-01-01,02,0.15129355993745985
2018-01-01,02,-0.1107810060929526
2019-01-01,02,1.4921611130715329
2020-01-01,02,0.31788605771618794
2021-01-01,02,0.5050254988364644
2022-01-01,02,0.5665303709542435
2023-01-01,02,0.651513667091197
2024-01-01,02,0.6862315666520624
1981-01-01,03,9.519506196748818
1982-01-01,03,4.226398315475999
1983-01-01,03,3.8708344611387613
1984-01-01,03,2.560388413432335
1985-01-01,03,0.9953482838348515
1986-01-01,03,0.3535945508013949
1987-01-01,03,-1.2114175094253943
1988-01-01,03,2.0927177071470737
1989-01-01,03,1.71157485856972
1990-01-01,03,1.7121512983071963
1991-01-01,03,6.223808249099538
1992-01-01,03,2.953848680286697
1993-01-01,03,0.4996190726608063
1994-01-01,03,-0.7527505588452832
1995-01-01,03,-0.0412480358729983
1996-01-01,03,-0.7002792929957091
1997-01-01,03,-0.5036878830709912
1998-01-01,03,0.489672944628583
1999-01-01,03,-2.057121145420948
2000-01-01,03,-1.7313633995087674
2001-01-01,03,-2.6179127836664984
2002-01-01,03,-2.2426766016509614
2003-01-01,03,-1.965326558063063
2004-01-01,03,-1.8903879868892526
2005-01-01,03,-1.1110247843990284
2006-01-01,03,-1.3042111879321139
2007-01-01,03,-1.3692087247253681
2008-01-01,03,-0.5730427764325974
2009-01-01,03,-0.9335173309521938
2010-01-01,03,-1.6633890527695927
2011-01-01,03,-0.24997916840263645
2012-01-01,03,-0.5680394286191603
2013-01-01,03,-0.5796857934974309
2014-01-01,03,-0.1943552475916932
2015-01-01,03,0.4910676488019794
2016-01-01,03,-0.3875642429859494
2017-01-01,03,-0.3552397868561208
2018-01-01,03,-2.0456667515491023
2019-01-01,03,-1.915077989601388
2020-01-01,03,-0.8392967576640986
2021-01-01,03,-0.4365645046329414
2022-01-01,03,0.12527964205817366
2023-01-01,03,0.2323710787380362
2024-01-01,03,-0.25858225590728035
1981-01-01,04,9.908845856160454
1982-01-01,04,6.302555206854676
1983-01-01,04,6.096965184007419
1984-01-01,04,7.51750144352501
1985-01-01,04,4.201545892181091
1986-01-01,04,1.6102472922568056
1987-01-01,04,-1.4812103805527999
1988-01-01,04,-2.025764186754553
1989-01-01,04,-0.7963418666069533
1990-01-01,04,0.36208522375178465
1991-01-01,04,3.026577167135236
1992-01-01,04,3.6151574059393177
1993-01-01,04,3.5246182288638295
1994-01-01,04,2.397270383201655
1995-01-01,04,3.366612406588354
1996-01-01,04,3.168100070146518
1997-01-01,04,3.26586165473135
1998-01-01,04,4.305678432424798
1999-01-01,04,1.596291875564737
2000-01-01,04,1.463563449124572
2001-01-01,04,1.3877168307548038
2002-01-01,04,0.6843614168130951
2003-01-01,04,0.9552677505281215
2004-01-01,04,0.9189336730051956
2005-01-01,04,1.0457987738910823
2006-01-01,04,1.5524625267666181
2007-01-01,04,1.2827271129854045
2008-01-01,04,1.5700902151283724
2009-01-01,04,1.375010675548749
2010-01-01,04,1.1036225779275322
2011-01-01,04,1.7665194567119347
2012-01-01,04,1.5884713010726248
2013-01-01,04,1.781252518739418
2014-01-01,04,3.3892936331960666
2015-01-01,04,2.4356617647058876
2016-01-01,04,2.4450426200089748
2017-01-01,04,2.2188161448069454
2018-01-01,04,1.9850053552302738
2019-01-01,04,1.8693551774837225
2020-01-01,04,-1.7319587628866095
2021-01-01,04,1.5736466638690771
2022-01-01,04,1.810920608689659
2023-01-01,04,1.6569728121195837
2024-01-01,04,3.0071186215155477
1981-01-01,05,6.434007463081892
1982-01-01,05,2.9444513700227937
1983-01-01,05,2.5330620529103065
1984-01-01,05,0.9051951820209903
1985-01-01,05,0.24258512603374527
1986-01-01,05,0.6669700926487776
1987-01-01,05,0.9034702188437826
1988-01-01,05,2.8800507715124324
